,p1,p36,p37,p2a,weekday(p2a),p2b,p6,p7,p8,p9,p10,p11,p12,p13a,p13b,p13c,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p27,p28,p34,p35,p39,p44,p45a,p47,p48a,p49,p50a,p50b,p51,p52,p53,p55a,p57,p58,a,b,d,e,f,g,h,i,j,k,l,n,o,p,q,r,s,t,p5a,region
43,2100160044,6,,2016-01-02,6,1415,1,4,0,1,1,2,201,0,0,1,950,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,3,0,,3,32.0,12,1.0,0.0,1.0,0.0,1.0,5.0,300,2.0,1.0,1.0,,,"-743279,94","-1050940,599","-743278,586","-1050945,025",PRAHA5,MusÌlkova,,mÌstnÌkomunikace,,305352.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,454401.0,GN_V0.1UIR-ADR_410,1,PHA
44,2100160045,6,,2016-01-02,6,1645,2,0,0,2,1,2,508,0,0,0,330,2.0,1.0,1.0,1.0,2.0,1.0,1,1,0,0,0,1,2,0,,3,31.0,02,1.0,0.0,0.0,0.0,1.0,5.0,30,2.0,1.0,1.0,,,"-728850,670","-1042645,770","-728851,000","-1042647,630",PRAHA9-HORNÕPO»ERNICE,KALVODOVA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
45,2100160046,8,,2016-01-02,6,1700,1,4,0,1,1,2,503,0,0,2,600,2.0,1.0,1.0,1.0,4.0,1.0,1,1,0,0,10,1,3,0,,3,26.0,14,1.0,0.0,1.0,0.0,1.0,5.0,100,2.0,1.0,1.0,,,"-734951,060","-1045845,100","-734951,190","-1045844,700",PRAHA5-ZLI»ÕN,ÿEVNICK¡,,sledovan·komunikace,,,,,,,,,1,PHA
46,2100160047,6,,2016-01-01,5,2560,3,0,6,2,1,0,516,0,0,0,300,2.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1,0,,17,,XX,,,,,,,0,,,,,,"-746375,200","-1040785,030","-746375,380","-1040784,850",PRAHA6DEJVICE,NABE»V¡ÿCE,,mÌstnÌkomunikace,,,,,,,,,1,PHA
47,2100160048,6,,2016-01-02,6,1730,2,0,0,2,1,2,508,0,0,0,150,2.0,1.0,1.0,1.0,4.0,1.0,1,1,0,0,0,1,2,0,,3,31.0,99,1.0,0.0,1.0,0.0,1.0,5.0,50,2.0,1.0,1.0,,,"-745120,115","-1053761,923","-745120,032","-1053761,933",Praha,Krupn·,,mÌstnÌkomunikace,,2568285.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,481785.0,GN_V0.1UIR-ADR_410,1,PHA
48,2100160049,8,,2016-01-02,6,1720,1,4,0,2,1,2,504,0,0,0,200,2.0,1.0,1.0,1.0,4.0,1.0,1,1,0,0,10,1,2,0,,3,39.0,03,1.0,0.0,1.0,0.0,1.0,5.0,100,3.0,1.0,1.0,,,"-740899,870","-1052947,940","-740899,870","-1052947,940",PRAHA4-LIBUä,LIBUäSK¡,,mÌstnÌkomunikace,,,,,,,,,1,PHA
49,2100160050,8,,2016-01-02,6,1730,4,0,0,1,1,2,504,0,0,1,0,3.0,1.0,1.0,1.0,4.0,1.0,1,1,0,0,10,1,1,0,,3,13.0,10,1.0,0.0,1.0,0.0,1.0,5.0,0,3.0,1.0,1.0,,,"-736441,860","-1047771,490","-736441,860","-1047771,600",PRAHA10HOSTIVAÿ,äVEHLOVA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
50,2100160051,4,,2016-01-02,6,1820,1,1,0,2,1,2,405,0,0,0,350,2.0,1.0,1.0,1.0,4.0,1.0,0,1,2,0,0,4,2,19,,3,39.0,00,1.0,0.0,1.0,0.0,1.0,75.0,100,2.0,1.0,1.0,,,"-741579,860","-1049851,140","-741579,260","-1049851,130",PRAHA4LHOTKA,Z¡LESÕ,,sledovan·komunikace,,,,,,,,,1,PHA
51,2100160052,5,,2016-01-02,6,1827,8,2,0,2,1,2,413,0,0,0,600,1.0,1.0,1.0,1.0,4.0,1.0,5,7,0,5,2,1,2,0,,3,39.0,97,1.0,0.0,0.0,0.0,1.0,3.0,300,2.0,1.0,1.0,,,"-743467,220","-1043601,410","-743484,470","-1043597,560",PRAHA1STAR…MÃSTO,N¡RODNÕ,,sledovan·komunikace,,,,,,,,,1,PHA
52,2100160053,4,,2016-01-02,6,2330,3,0,4,2,1,2,508,0,0,0,320,2.0,1.0,1.0,1.0,4.0,1.0,0,1,3,3,0,6,1,19,,3,16.0,97,1.0,0.0,1.0,0.0,1.0,67.0,300,2.0,1.0,1.0,,,"-752485,355","-1045787,321","-752487,369","-1045787,981",PRAHA5T¯ebonice,ÿevnick·,,uzel,,,,,,,,,1,PHA
